orden,municipio,nombre,cant_viviendas
1,140140077,Cordoba,473025
2,64270427,La Matanza,447520
3,820840210,Rosario,357547
4,63570357,General Pueyrredon,308022
5,64410441,La Plata,259762
6,64900490,Lomas de Zamora,188324
7,66580658,Quilmes,182340
8,64340434,Lanus,157971
9,900840014,San Miguel de Tucumán,157553
10,60280028,Almirante Brown,156296
